Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
24098-23825,C,Nerlens,Nerlens Noel,Noel,13.78695679,23,4200,DAL@NY,DAL,NY,,
24098-15814,C,Alex,Alex Len,Len,21.5965513,58,4200,CLE@PHO,PHO,CLE,,
24098-15843,PG,Trey,Trey Burke,Burke,18.10952323,21,4200,DAL@NY,NY,DAL,,
24098-9704,SG,Manu,Manu Ginobili,Ginobili,16.34117695,51,4200,ORL@SA,SA,ORL,O,Rest
24098-9606,SF,Corey,Corey Brewer,Brewer,9.789830095,59,4100,OKC@ATL,OKC,ATL,,
24098-23447,C,Richaun,Richaun Holmes,Holmes,15.57058895,34,4100,IND@PHI,PHI,IND,,
24098-9631,C,Emeka,Emeka Okafor,Okafor,17.31666692,12,4100,CHA@NO,NO,CHA,,
24098-15590,PF,Mason,Mason Plumlee,Plumlee,21.46271269,59,4000,DEN@LAL,DEN,LAL,,
24098-9448,SG,Jamal,Jamal Crawford,Crawford,15.88333407,66,4000,MIN@WAS,MIN,WAS,,
24098-55055,PG,Dante,Dante Exum,Exum,11.45303067,66,4000,DET@UTA,UTA,DET,GTD,Shoulder
24098-23831,PF,Jerami,Jerami Grant,Grant,17.10000072,68,4000,OKC@ATL,OKC,ATL,,
24098-80813,PG,Frank,Frank Ntilikina,Ntilikina,14.43846154,65,4000,DAL@NY,NY,DAL,,
24098-9671,C,Marreese,Marreese Speights,Speights,12.875,48,4000,ORL@SA,ORL,SA,,
24098-9702,PG,Tony,Tony Parker,Parker,17.2625,40,4000,ORL@SA,SA,ORL,,
24098-9715,SG,Marco,Marco Belinelli,Belinelli,17.78888811,63,4000,IND@PHI,PHI,IND,,
24098-12334,SG,Avery,Avery Bradley,Bradley,22.00434809,46,3900,LAC@CHI,LAC,CHI,GTD,Groin
24098-12369,SF,Lance,Lance Stephenson,Stephenson,20.39253804,67,3900,IND@PHI,IND,PHI,,
24098-49349,PG,Isaiah,Isaiah Taylor,Taylor,11.40192355,52,3900,OKC@ATL,ATL,OKC,,
24098-18256,SF,Doug,Doug McDermott,McDermott,12.8552237,67,3900,DAL@NY,DAL,NY,,
24098-16063,PF,Eric,Eric Moreland,Moreland,10.55370416,54,3800,DET@UTA,DET,UTA,,
24098-9968,SG,Jodie,Jodie Meeks,Meeks,10.64375019,64,3800,MIN@WAS,WAS,MIN,,
24098-40830,PG,Delon,Delon Wright,Wright,18.84528279,53,3800,TOR@BKN,TOR,BKN,,
24098-15771,PF,Gorgui,Gorgui Dieng,Dieng,15.48923058,65,3800,MIN@WAS,MIN,WAS,,
24098-9648,PF,Jeff,Jeff Green,Green,17.71111189,63,3800,CLE@PHO,CLE,PHO,,
24098-18393,PG,T.J.,T.J. McConnell,McConnell,20.29661017,59,3800,IND@PHI,PHI,IND,,
24098-67556,PG,Tyler,Tyler Dorsey,Dorsey,10.3097564,41,3800,OKC@ATL,ATL,OKC,,
24098-58350,SF,Stanley,Stanley Johnson,Johnson,18.43207593,53,3800,DET@UTA,DET,UTA,GTD,Back
24098-15417,SF,Solomon,Solomon Hill,Hill,17.16125031,80,3700,CHA@NO,NO,CHA,O,Hamstring
24098-66174,PG,Jawun,Jawun Evans,Evans,13.32749939,40,3700,LAC@CHI,LAC,CHI,,
24098-9962,PF,Jonas,Jonas Jerebko,Jerebko,11.96271166,59,3700,DET@UTA,UTA,DET,,
24098-9506,SG,JR,JR Smith,Smith,16.93437576,64,3700,CLE@PHO,CLE,PHO,,
24098-16201,PG,Michael,Michael Carter-Williams,Carter-Williams,13.99230722,52,3700,CHA@NO,CHA,NO,O,Shoulder
24098-9609,C,Al,Al Jefferson,Jefferson,14.83793061,29,3700,IND@PHI,IND,PHI,,
24098-15758,SF,Michael,Michael Kidd-Gilchrist,Kidd-Gilchrist,18.85932121,59,3700,CHA@NO,CHA,NO,,
24098-15762,SF,Darius,Darius Miller,Miller,13.42424242,66,3700,CHA@NO,NO,CHA,,
24098-16293,SG,Norman,Norman Powell,Powell,11.42631558,57,3700,TOR@BKN,TOR,BKN,,
24098-9661,C,Marcin,Marcin Gortat,Gortat,22.99402949,67,3700,MIN@WAS,WAS,MIN,,
24098-12340,PF,Patrick,Patrick Patterson,Patterson,9.576811417,69,3600,OKC@ATL,OKC,ATL,,
