"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"24511-16026","SG","Markel","Markel Brown","Brown","3","4","3500","PHO@HOU","HOU","PHO","","","",""
"24511-66205","PF","Tyler","Tyler Lydon","Lydon","0","1","3500","DEN@OKC","DEN","OKC","O","Knee","",""
"24511-70821","C","Georgios","Georgios Papagiannis","Papagiannis","6.668749809265137","16","3500","LAC@POR","POR","LAC","","","",""
"24511-23717","SF","Shabazz","Shabazz Muhammad","Muhammad","7.815384302383814","39","3500","MIL@LAL","MIL","LAL","","","",""
"24511-70820","C","Thon","Thon Maker","Maker","12.836620062169894","71","3500","MIL@LAL","MIL","LAL","GTD","Groin","",""
"24511-70822","SF","Juan","Juan Hernangomez","Hernangomez","7.547826352326767","23","3500","DEN@OKC","DEN","OKC","","","",""
"24511-42664","PG","Aaron","Aaron Harrison","Harrison","12.800000508626303","3","3500","MIN@DAL","DAL","MIN","","","",""
"24511-70825","SG","Timothe","Timothe Luwawu-Cabarrot","Luwawu-Cabarrot","9.219230651855469","52","3500","PHI@ATL","PHI","ATL","O","Knee","",""
"24511-70824","C","Ante","Ante Zizic","Zizic","7.146428789411273","28","3500","NO@CLE","CLE","NO","","","",""
"24511-70827","C","Ivica","Ivica Zubac","Zubac","6.734285627092634","35","3500","MIL@LAL","LAL","MIL","","","",""
"24511-42667","C","Dakari","Dakari Johnson","Johnson","5.027586312129579","29","3500","DEN@OKC","OKC","DEN","","","",""
"24511-70826","SG","Furkan","Furkan Korkmaz","Korkmaz","3.6777776082356772","9","3500","PHI@ATL","PHI","ATL","","","",""
"24511-14510","SG","Alec","Alec Burks","Burks","14.431667073567708","60","3500","MEM@UTA","UTA","MEM","","","",""
"24511-70830","C","Zhou","Zhou Qi","Qi","3.8812499046325684","16","3500","PHO@HOU","HOU","PHO","","","",""
